OBJECTID,COUNTY,Cases,Deaths,Recovered,lat,lon
1,Adams,0,0,0,43.969637234,-89.7706539234
2,Ashland,0,0,0,46.3149848002,-90.67787694
3,Barron,0,0,0,45.4237186088,-91.8483781559
4,Bayfield,0,0,0,46.5235979991,-91.2008035553
5,Brown,1,0,0,44.4525557761,-88.0037115022
6,Buffalo,0,0,0,44.3798427269,-91.7544410996
7,Burnett,0,0,0,45.8626875361,-92.3674570151
8,Calumet,0,0,0,44.0815954305,-88.2179179858
9,Chippewa,0,0,0,45.0694143946,-91.2799017653
10,Clark,0,0,0,44.73472224,-90.6120499175
11,Columbia,0,0,0,43.4666335138,-89.333750534
12,Crawford,0,0,0,43.2394344094,-90.9309323769
13,Dane,23,0,1,43.0673860295,-89.4183326397
14,Dodge,0,0,0,43.416274279,-88.7075222972
15,Door,0,0,0,44.9436794879,-87.3171548866
16,Douglas,0,0,0,46.4329331779,-91.9161847906
17,Dunn,0,0,0,44.9465765147,-91.8963592235
18,Eau Claire,0,0,0,44.7267725194,-91.2859189484
19,Florence,0,0,0,45.8484471431,-88.3981082757
20,Fond du Lac,12,0,0,43.7535659507,-88.4882929569
21,Forest,0,0,0,45.6672633417,-88.7703695914
22,Grant,0,0,0,42.867523317,-90.7055027191
23,Green,0,0,0,42.6799672774,-89.6022739721
24,Green Lake,0,0,0,43.8004113457,-89.044876307
25,Iowa,0,0,0,43.0004569157,-90.1353733145
26,Iron,0,0,0,46.2622731328,-90.2419514155
27,Jackson,0,0,0,44.3191901999,-90.8052335689
28,Jefferson,0,0,0,43.0207869918,-88.7759028251
29,Juneau,0,0,0,43.9244905884,-90.1140292338
30,Kenosha,4,0,0,42.576802557,-88.0427428364
31,Kewaunee,0,0,0,44.5160942926,-87.6152854645
32,La Crosse,1,0,0,43.9065695667,-91.1152301356
33,Lafayette,0,0,0,42.6605380772,-90.1317759376
34,Langlade,0,0,0,45.2623683012,-89.0719545437
35,Lincoln,0,0,0,45.3374147452,-89.7346782595
36,Manitowoc,0,0,0,44.1199246041,-87.809593427
37,Marathon,0,0,0,44.8982856407,-89.7591034724
38,Marinette,0,0,0,45.3831708422,-88.0335370833
39,Marquette,0,0,0,43.8195977235,-89.3987976049
40,Menominee,0,0,0,45.0043752159,-88.7099635573
41,Milwaukee,47,0,0,43.0071486606,-87.966768544
42,Monroe,0,0,0,43.9457527529,-90.6179147228
43,Oconto,0,0,0,45.0260816701,-88.2692028464
44,Oneida,0,0,0,45.7055547685,-89.5218561464
45,Outagamie,1,0,0,44.4160916533,-88.4649321123
46,Ozaukee,0,0,0,43.3840826529,-87.9508000879
47,Pepin,0,0,0,44.5829339063,-92.001581684
48,Pierce,1,0,0,44.71939184,-92.4224750661
49,Polk,0,0,0,45.4613689353,-92.4414260127
50,Portage,0,0,0,44.4760206441,-89.5014205837
51,Price,0,0,0,45.680309837,-90.3615363136
52,Racine,1,0,0,42.7474867183,-88.0611426157
53,Richland,0,0,0,43.3756189055,-90.4295170573
54,Rock,0,0,0,42.671220905,-89.0715694405
55,Rusk,0,0,0,45.4751469707,-91.1331595449
56,Saint Croix,0,0,0,45.0340198546,-92.4527658697
57,Sauk,0,0,0,43.4267949807,-89.9484325344
58,Sawyer,0,0,0,45.879973873,-91.1447331505
59,Shawano,0,0,0,44.7891412637,-88.7654616546
60,Sheboygan,4,0,0,43.721211691,-87.9453681438
61,Taylor,0,0,0,45.2114955917,-90.5012373493
62,Trempealeau,0,0,0,44.3039617903,-91.3584417224
63,Vernon,0,0,0,43.593847238,-90.8343815117
64,Vilas,0,0,0,46.0528472939,-89.5149332741
65,Walworth,0,0,0,42.6685281441,-88.541933382
66,Washburn,0,0,0,45.8991515873,-91.791296366
67,Washington,2,0,0,43.3684784856,-88.2307448694
68,Waukesha,5,0,0,43.0182230629,-88.3045121078
69,Waupaca,0,0,0,44.4704488273,-88.9647981632
70,Waushara,0,0,0,44.1131022825,-89.2428809224
71,Winnebago,3,0,0,44.0688769012,-88.6444865797
72,Wood,1,0,0,44.4553203733,-90.0416068042
